transaction_id,user_id,amount,transaction_type,merchant_category,merchant_id,device_type,channel,city,country,timestamp,is_international,card_present,is_fraud
tx_9e14da1ce9a2,user_01242,92.49,withdrawal,grocery,mrc_groc_0033,tablet,online,Mumbai,IN,2025-12-22T09:36:03,False,False,0
tx_e08a7616fb86,user_01732,70.83,transfer,retail,mrc_reta_0014,pos_terminal,in_store,Nice,FR,2026-02-10T14:20:16,False,True,0
tx_eeda70e6b7ec,user_00346,259.48,refund,other,mrc_othe_0026,desktop,online,Perth,AU,2026-01-14T17:39:31,False,False,0
tx_bd66b6943f42,user_02138,628.49,purchase,other,mrc_othe_0078,mobile,mobile_app,Rio de Janeiro,BR,2025-12-23T09:14:34,False,False,0
tx_77d228421fbf,user_02274,179.88,withdrawal,travel,mrc_trav_0063,mobile,online,Marseille,FR,2026-03-19T19:10:39,False,False,0
tx_3cacb6a00e05,user_01361,155.89,payment,retail,mrc_reta_0083,desktop,online,Sydney,AU,2026-02-23T14:47:03,False,False,0
tx_9b831839d91b,user_01935,1189.05,refund,grocery,mrc_groc_0043,tablet,online,Chicago,US,2025-12-23T18:51:58,False,False,0
tx_040a38032877,user_02199,49.43,purchase,entertainment,mrc_ente_0076,mobile,mobile_app,Dubai,AE,2026-01-06T16:37:03,False,False,0
tx_1ace08db1f0e,user_00777,154.15,purchase,electronics,mrc_elec_0056,tablet,online,Vancouver,CA,2026-02-18T17:59:06,False,False,0
tx_d91568d966c7,user_00141,58.41,purchase,entertainment,mrc_ente_0045,tablet,online,Singapore City,SG,2026-01-28T09:55:40,False,False,0
tx_aa8fcaba8bb5,user_00584,852.96,purchase,online,mrc_onli_0049,mobile,online,Munich,DE,2026-01-03T10:47:59,False,False,0
tx_644413c6bb89,user_01861,40.43,payment,other,mrc_othe_0079,tablet,mobile_app,Birmingham,GB,2025-12-20T17:01:14,False,False,0
tx_5c203ac8cc3c,user_02937,106.71,payment,electronics,mrc_elec_0075,desktop,call_center,Frankfurt,DE,2026-02-08T11:10:03,False,False,0
tx_88aef98329d1,user_02156,80.5,purchase,grocery,mrc_groc_0014,mobile,mobile_app,Adelaide,AU,2026-01-23T07:39:15,False,False,0
tx_3c4e7095dc06,user_00754,94.1,purchase,online,mrc_onli_0078,desktop,online,Calgary,CA,2026-01-01T10:11:59,False,False,0
tx_8cd89c103ccc,user_01443,78.86,transfer,healthcare,mrc_heal_0062,tablet,mobile_app,Singapore City,SG,2026-02-10T11:15:58,False,False,0
tx_0c6de8b6b828,user_02950,34.21,purchase,atm,mrc_atm_0016,mobile,online,Brisbane,AU,2026-02-01T15:27:05,False,False,0
tx_950c382d06b1,user_02653,289.07,refund,grocery,mrc_groc_0007,pos_terminal,atm,Birmingham,GB,2026-01-30T12:57:35,False,True,0
tx_5dfef6ba6f7d,user_02999,89.41,withdrawal,entertainment,mrc_ente_0071,desktop,call_center,São Paulo,BR,2025-12-24T13:05:31,False,False,0
tx_03d74bbb0065,user_01322,162.81,purchase,healthcare,mrc_heal_0008,mobile,mobile_app,Brisbane,AU,2026-02-13T16:48:23,False,False,0
tx_549070cda95f,user_02645,47.49,payment,atm,mrc_atm_0061,mobile,mobile_app,Cologne,DE,2026-03-13T10:16:56,False,False,0
